City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Chiredzi,ZW,68.22,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
538,Huaicheng,CN,68.09,clear sky,23.9051,112.1931,Tengye Hotel
541,Nador,MA,52.05,few clouds,35.174,-2.9287,Hôtel La Giralda
545,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
548,Oxford,GB,40.19,overcast clouds,51.7522,-1.256,Malmaison Oxford
552,Erzin,TR,50.52,overcast clouds,36.9559,36.2,Artemis Otel
554,Xai-Xai,MZ,68.29,light rain,-25.0519,33.6442,Complexo da Familia
555,Tayoltita,MX,63.77,overcast clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
557,Sydney Mines,CA,53.17,light intensity drizzle,46.2367,-60.2177,At The Harbourfront B&B Inc
562,Narayangarh,IN,56.26,clear sky,30.4833,77.1333,Hotel Paris
563,Ruzomberok,SK,41.76,overcast clouds,49.0748,19.3075,Hotel Kultura
566,Tianpeng,CN,55.72,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
567,Drinovci,BA,48.67,overcast clouds,43.355,17.3539,Holiday Home Medo
571,Satara,IN,66.81,scattered clouds,17.6833,73.9833,Dagdusheth Farsana
573,Hamilton,US,43.12,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
575,Portage,US,45.81,heavy intensity rain,41.1667,-81.1998,Rocking Horse Inn
576,Masyaf,SY,51.85,clear sky,35.0653,36.3406,Hotel restaurants and tourist Misyaf
577,Virginia Beach,US,53.62,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
581,Houma,US,68.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
582,Khani,GE,40.57,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
586,Ketchikan,US,40.69,light rain,55.3422,-131.6461,Snow's Cove Lodge
589,Broken Hill,AU,67.66,clear sky,-31.95,141.4333,Royal Exchange Hotel
594,Dunedin,NZ,58.59,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
597,Palma,ES,51.1,scattered clouds,39.5694,2.6502,Hotel Saratoga
601,Waddan,LY,67.14,few clouds,29.1614,16.139,محل الشريف محمد العايب
602,Shima,CN,69.13,clear sky,24.4478,117.8111,龙海钻石大酒店
604,Otautau,NZ,50.79,light rain,-46.15,168.0,Otautau Hotel
606,Awbari,LY,64.33,clear sky,26.5921,12.7805,فندق أوباري
609,Owando,CG,69.48,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
611,Fukue,JP,58.62,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
617,Luau,AO,62.38,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
627,Manyoni,TZ,66.51,light rain,-5.7467,34.8382,bm lodge bm lodge
628,Sukumo,JP,60.98,clear sky,32.9333,132.7333,Sukumojo
