City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.62,97,100,0.18,overcast clouds
145,Ugep,NG,5.8086,8.0812,74.41,95,12,4.12,few clouds
146,Souillac,MU,-20.5167,57.5167,73.78,88,40,3.44,scattered clouds
147,Margate,GB,51.3813,1.3862,38.7,76,94,1.99,overcast clouds
148,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,42,1.59,light rain
149,Ancud,CL,-41.8697,-73.8203,50.43,84,100,4.72,overcast clouds
150,Sergeyevka,KZ,53.88,67.4158,10.31,94,79,11.12,broken clouds
151,Tomatlan,MX,19.9333,-105.25,70.32,72,41,4.32,scattered clouds
152,Lensk,RU,60.7253,114.9278,0.61,94,96,3.56,overcast clouds
153,Lashio,MM,22.9333,97.75,63.66,77,8,1.12,clear sky
154,Pecos,US,31.4229,-103.4932,52.3,34,1,0.0,clear sky
155,Tumkur,IN,13.3422,77.1017,72.16,88,100,5.08,overcast clouds
156,Aberdeen,GB,57.1437,-2.0981,43.48,90,75,9.22,moderate rain
157,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,2.3,broken clouds
158,Axim,GH,4.8699,-2.2405,79.3,84,8,6.67,clear sky
159,Baykit,RU,61.67,96.37,9.73,96,100,0.63,overcast clouds
160,Airai,TL,-8.9266,125.4092,76.26,58,33,1.32,scattered clouds
161,Castro,BR,-24.7911,-50.0119,66.58,73,100,4.63,light rain
162,Coahuayana,MX,18.7333,-103.6833,73.54,87,0,2.28,clear sky
163,Tual,ID,-5.6667,132.75,83.57,68,100,1.25,overcast clouds
164,Mangrol,IN,21.1167,70.1167,73.69,40,28,6.87,scattered clouds
165,Lavrentiya,RU,65.5833,-171.0,-6.68,88,11,9.4,few clouds
166,Hithadhoo,MV,-0.6,73.0833,81.3,69,85,11.83,overcast clouds
167,Beyneu,KZ,45.3167,55.2,25.56,38,0,6.38,clear sky
168,Provideniya,RU,64.3833,-173.3,1.51,60,0,6.71,clear sky
169,Muisne,EC,0.6,-80.0333,74.08,80,100,6.62,overcast clouds
170,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
171,Sigli,ID,5.3848,95.9609,79.05,83,99,2.37,overcast clouds
172,Abaza,RU,52.655,90.0928,25.77,89,100,11.72,light snow
173,Marsa Matruh,EG,31.3525,27.2453,59.2,88,0,4.61,clear sky
174,Itaituba,BR,-4.2761,-55.9836,75.85,95,100,2.46,overcast clouds
175,Sao Filipe,CV,14.8961,-24.4956,77.9,74,98,10.87,overcast clouds
176,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,67.51,95,80,10.49,broken clouds
177,Constitucion,CL,-35.3333,-72.4167,56.98,77,0,12.73,clear sky
178,Asau,RO,46.4333,26.4,35.76,69,1,5.77,clear sky
179,San Patricio,US,28.017,-97.5169,57.83,65,100,15.77,overcast clouds
180,Iqaluit,CA,63.7506,-68.5145,24.53,68,75,6.91,broken clouds
181,Klaksvik,FO,62.2266,-6.589,36.52,69,91,34.81,overcast clouds
182,Victoria,HK,22.2855,114.1577,72.25,60,0,1.99,clear sky
183,Gamba,GA,-2.65,10.0,75.83,92,100,4.41,light rain
184,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,24,0,17.27,clear sky
185,Javanrud,IR,34.7961,46.5172,45.36,49,76,0.4,broken clouds
186,Polunochnoye,RU,60.8697,60.4153,4.32,92,70,3.98,broken clouds
187,Tautira,PF,-17.7333,-149.15,87.82,71,3,16.44,clear sky
188,Kungurtug,RU,50.5994,97.5228,22.39,79,100,2.59,overcast clouds
189,Bull Savanna,JM,17.8868,-77.5902,73.94,82,26,5.75,scattered clouds
190,Port Elizabeth,ZA,-33.918,25.5701,64.09,80,95,22.75,overcast clouds
191,Urdoma,RU,61.7533,48.5442,17.38,95,100,9.73,light snow
192,Calvinia,ZA,-31.4707,19.776,62.96,48,64,22.44,broken clouds
193,Krasnoselkup,RU,65.7,82.4667,3.07,96,100,10.45,overcast clouds
194,Aurillac,FR,44.9167,2.45,39.45,93,90,3.44,overcast clouds
195,Usinsk,RU,65.9939,57.5281,-10.17,100,87,5.12,overcast clouds
196,Muros,ES,42.7762,-9.0603,51.24,84,75,16.44,broken clouds
197,Andenes,NO,69.3143,16.1194,26.58,80,90,17.27,light snow
198,La Mana,EC,-0.9333,-79.2167,80.89,85,100,2.84,light rain
199,Bhandaria,BD,22.4861,90.0609,69.71,58,0,5.32,clear sky
200,Taoudenni,ML,22.6783,-3.9836,74.62,32,55,8.59,broken clouds
201,Thompson,CA,55.7435,-97.8558,-2.04,78,90,3.44,overcast clouds
202,Halifax,CA,44.6453,-63.5724,46.49,95,100,7.0,overcast clouds
203,Innisfail,AU,-17.5333,146.0333,80.83,77,100,5.19,overcast clouds
204,Cairns,AU,-16.9167,145.7667,87.75,62,100,12.66,overcast clouds
205,Yulin,CN,22.6333,110.15,67.95,49,3,6.24,clear sky
206,Itamarandiba,BR,-17.8572,-42.8589,61.07,92,3,1.79,clear sky
207,Kushiro,JP,42.975,144.3747,40.15,45,20,14.97,few clouds
208,Hede,CN,33.7681,120.2517,56.1,50,0,6.04,clear sky
209,Maeriste,RO,47.3167,22.8,43.09,76,96,7.2,overcast clouds
210,Churapcha,RU,62.0025,132.4325,-12.71,88,70,3.04,broken clouds
211,Caceres,ES,39.522,-6.3748,38.8,83,14,3.78,few clouds
212,Roald,NO,62.5833,6.1333,32.32,93,75,6.91,light snow
213,Quelimane,MZ,-17.8786,36.8883,76.95,83,75,5.99,light rain
214,Taizhou,CN,32.4933,119.9106,59.9,48,0,5.86,clear sky
215,Voh,NC,-20.9667,164.7,86.16,50,43,2.21,scattered clouds
216,Kutum,SD,14.2,24.6667,58.03,19,0,6.29,clear sky
217,Jamestown,US,42.097,-79.2353,44.19,70,90,5.99,mist
218,Kavaratti,IN,10.5669,72.642,81.99,72,100,1.83,overcast clouds
219,Padang,ID,-0.9492,100.3543,84.25,65,98,4.74,overcast clouds
220,Les Cayes,HT,18.2,-73.75,75.97,81,20,8.41,few clouds
221,Amapa,BR,1.0,-52.0,72.61,96,96,2.53,overcast clouds
222,Tyumentsevo,RU,53.3224,81.498,-5.21,99,53,7.65,broken clouds
223,Belaya Gora,RU,68.5333,146.4167,-37.12,100,65,2.24,broken clouds
224,Faya,SA,18.3851,42.4509,53.71,73,3,0.47,clear sky
225,Isangel,VU,-19.55,169.2667,87.91,58,75,11.5,broken clouds
226,Lata,PT,40.1629,-8.3327,47.8,88,9,4.32,clear sky
227,Ostrovnoy,RU,68.0531,39.5131,25.54,61,100,13.13,overcast clouds
228,Broome,US,42.2506,-75.833,43.38,80,100,1.01,overcast clouds
229,Mundo Nuevo,MX,18.7,-95.5,76.78,77,5,12.64,clear sky
230,Port Hardy,CA,50.6996,-127.4199,46.58,93,90,2.3,overcast clouds
231,Lasa,IT,46.6166,10.7002,42.26,94,100,1.45,overcast clouds
232,Ust-Kulom,RU,61.6864,53.6902,9.09,96,100,3.22,overcast clouds
233,Verkhoyansk,RU,67.5447,133.385,-38.11,99,43,1.32,scattered clouds
234,Vung Tau,VN,10.346,107.0843,78.03,81,100,6.38,overcast clouds
235,Teya,RU,60.3778,92.6267,5.18,99,99,2.75,overcast clouds
236,Nelson Bay,AU,-32.7167,152.15,66.99,96,100,3.0,moderate rain
237,Ixtapa,MX,20.7,-105.2,68.61,75,13,3.67,few clouds
238,New Norfolk,AU,-42.7826,147.0587,61.72,47,55,3.0,broken clouds
239,Nakhon Si Thammarat,TH,8.25,100.0,84.02,79,65,4.81,light rain
240,Homer,US,59.6425,-151.5483,18.09,80,90,11.5,light snow
241,Vagur,FO,61.4732,-6.8119,38.17,71,89,37.45,overcast clouds
242,Saint George,US,37.1041,-113.5841,52.39,28,1,1.01,clear sky
243,Dongsheng,CN,39.8161,109.9776,32.61,33,0,2.93,clear sky
